time,br30_gobgp,br30_jool
123.79999995231628,120,120
124.0,120,120
124.20000004768372,120,120
124.40000009536743,120,120
124.59999990463257,120,120
124.90000009536743,120,120
125.09999990463257,120,120
125.29999995231628,120,120
125.5,120,120
125.70000004768372,120,120
125.90000009536743,120,120
126.20000004768372,120,120
126.40000009536743,120,120
126.59999990463257,120,120
126.79999995231628,120,120
127.0,120,120
127.29999995231628,120,120
127.5,120,120
127.70000004768372,120,120
127.90000009536743,120,120
128.09999990463257,120,120
128.29999995231628,119,119
128.59999990463257,119,119
128.79999995231628,119,119
129.0,119,119
129.20000004768372,118,118
129.40000009536743,118,118
129.59999990463257,117,117
129.90000009536743,117,117
130.09999990463257,117,117
130.29999995231628,117,117
130.5,116,116
130.79999995231628,116,116
131.0,116,116
131.20000004768372,115,115
131.5,115,115
131.70000004768372,115,115
131.90000009536743,115,115
132.09999990463257,114,114
132.40000009536743,113,113
132.59999990463257,113,113
132.79999995231628,113,113
133.0,113,113
133.20000004768372,113,113
133.5,113,113
133.70000004768372,113,113
133.90000009536743,110,110
134.09999990463257,109,109
134.40000009536743,108,108
134.59999990463257,108,108
134.79999995231628,108,108
135.0,108,108
135.29999995231628,108,108
135.5,108,108
135.70000004768372,108,108
135.90000009536743,108,108
136.09999990463257,108,108
136.29999995231628,108,108
136.59999990463257,107,107
136.79999995231628,106,106
137.0,106,106
137.29999995231628,105,105
137.5,104,104
137.70000004768372,104,104
137.90000009536743,104,104
138.09999990463257,104,104
138.40000009536743,104,104
138.59999990463257,103,103
138.79999995231628,102,102
139.0,101,101
139.29999995231628,100,100
139.5,100,100
139.70000004768372,100,100
139.90000009536743,100,100
140.20000004768372,100,100
140.40000009536743,100,100
140.59999990463257,100,100
140.79999995231628,99,99
141.0,99,99
141.29999995231628,98,98
141.5,98,98
141.70000004768372,98,98
141.90000009536743,98,98
142.09999990463257,97,97
142.40000009536743,97,97
142.59999990463257,97,97
142.79999995231628,96,96
143.0,96,96
143.20000004768372,96,96
143.5,96,96
143.70000004768372,96,96
143.90000009536743,96,96
144.09999990463257,96,96
144.29999995231628,94,94
144.5,94,94
144.79999995231628,94,94
145.0,94,94
145.20000004768372,94,94
145.40000009536743,92,93
145.59999990463257,91,91
145.90000009536743,91,91
146.09999990463257,90,90
146.29999995231628,89,89
146.59999990463257,89,89
146.79999995231628,89,89
147.0,89,89
147.20000004768372,88,88
147.40000009536743,87,87
147.70000004768372,86,86
147.90000009536743,86,86
148.09999990463257,86,86
148.29999995231628,86,86
148.5,85,85
148.79999995231628,85,85
149.0,85,85
149.20000004768372,84,84
149.5,84,84
149.70000004768372,83,83
149.90000009536743,83,83
150.09999990463257,83,83
150.40000009536743,83,83
150.59999990463257,83,83
150.79999995231628,82,82
151.0,82,82
151.20000004768372,81,81
151.5,81,81
151.70000004768372,81,81
151.90000009536743,80,80
152.20000004768372,80,80
152.40000009536743,80,80
152.59999990463257,80,80
152.90000009536743,80,80
153.09999990463257,79,79
153.29999995231628,79,79
153.5,78,78
153.79999995231628,78,78
154.0,78,78
154.20000004768372,78,78
154.40000009536743,78,78
154.70000004768372,77,77
154.90000009536743,77,77
155.09999990463257,77,77
155.29999995231628,76,76
155.5,75,75
155.79999995231628,75,75
156.0,74,74
156.20000004768372,74,74
156.40000009536743,74,74
